partner_name,advertiser_id,status,category,commission_min,commission_max,lead_min,lead_max,epc,conversion_rate,approval_rate,payment_status,average_payment_time,fit_score,risk_level,priority,recommended_tarvyo24_page,recommendation,reason
Ondis24 DE,11948,green,Home & Garden,4,9,0,0,0.26,1.65209,93.53,green,52,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.26; Bestätigung 93.53%; Provision bis 9%
Bodylab24 DE,15016,amber,Health & Beauty,5,5,0,0,0.06,2.22146,96.65,amber,65,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.06; Bestätigung 96.65%; Provision bis 5%
Freiluftkind DE,113840,amber,Shoes,0,0,0,0,0.14,3.0822,54.06,amber,53,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.14; Bestätigung 54.06%
Espadrij l'originale,127915,amber,Shoes,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
Hoffmann-Germany DE,31493,green,Home & Garden,0,0,0,0,0.95,13.1507,97.02,green,63,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.95; Bestätigung 97.02%
Zumnorde DE,28431,amber,Shoes,0,0,0,0,0.06,0.548057,56.05,amber,74,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.06; Bestätigung 56.05%
AEG DE - Hausgerätevertrieb,23861,amber,Electronic Superstore,0,0,0,0,0.47,1.42437,55.93,amber,108,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.47; Bestätigung 55.93%
Jan Vanderstorm - DE,14787,amber,Clothing,8,8,0,0,0.18,2.99617,55.52,amber,70,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.18; Bestätigung 55.52%; Provision bis 8%
Weihnachtsplaner DE,15163,green,Gifts & Flowers,6,6,0,0,0.02,0.547091,58.46,green,45,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 58.46%; Provision bis 6%
moebro DE,78268,amber,Furniture & Soft Furnishings,0,0,0,0,0.33,0.605886,44.44,amber,69,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.33; Bestätigung 44.44%
Life Extension DACH,81049,amber,Health & Beauty,0,0,0,0,0.79,10.0765,98.60,amber,81,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.79; Bestätigung 98.6%
Football TicketNet DE,109000,amber,Tickets,0,0,0,0,0.25,1.30201,34.48,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.25; Bestätigung 34.48%
K-fee DE,17031,amber,Electronic Accessories,8,8,0,0,0.32,8.39861,93.27,amber,87,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.32; Bestätigung 93.27%; Provision bis 8%
Reisefux DE/AT,16619,green,Hotels & Accommodation,7,7,0,0,0.16,4.54975,46.67,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.16; Bestätigung 46.67%; Provision bis 7%
Travel24 DE,9131,green,Hotels & Accommodation,3,4,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%; Provision bis 4%
Block House DE,39274,amber,FMCG,0,0,0,0,0.49,8.50884,79.46,amber,41,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.49; Bestätigung 79.46%
ZUP24 DE,116975,amber,DIY,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
Tom Hemps DE,110794,amber,Health & Beauty,0,0,0,0,0.11,1.32,94.40,amber,83,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.11; Bestätigung 94.4%
Motion Walls,125566,amber,Home & Garden,0,0,0,0,1.29,5.54511,20.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.29; Bestätigung 20%
Pferdefutter DE,16906,amber,Pets & Pet Care,10,10,0,0,0.37,5.22377,100.00,amber,102,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.37; Bestätigung 100%; Provision bis 10%
Spartoo DE,14135,amber,Shoes,3,3,0,0,0.02,0.527796,86.28,amber,89,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.02; Bestätigung 86.28%; Provision bis 3%
cambuy DE,13433,green,Electronic Accessories,7,7,0,0,1.71,11.726,86.05,green,81,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 1.71; Bestätigung 86.05%; Provision bis 7%
journaway DACH,15648,amber,Travel Agencies,7,7,0,0,0.26,0.0974792,64.11,amber,195,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.26; Bestätigung 64.11%; Provision bis 7%
Venchi DE,100069,amber,FMCG,0,0,0,0,0.49,7.46951,100.00,amber,53,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.49; Bestätigung 100%
Mehrsparte DE,53011,amber,Automotive,0,0,0,0,0.52,3.32779,100.00,amber,75,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.52; Bestätigung 100%
Phrozen (EU),120353,amber,Photos & Print Services,0,0,0,0,1.57,10.9239,88.89,amber,56,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.57; Bestätigung 88.89%
Lubluelu DE,123756,amber,Home & Garden,0,0,0,0,0.16,3.07323,88.06,amber,49,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.16; Bestätigung 88.06%
Nagelati DE,123904,amber,Green (Eco friendly),0,0,0,0,0.27,9.09091,100.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.27; Bestätigung 100%
etepetete-bio DE,24496,green,FMCG,0,0,0,0,0.08,5.05448,100.00,green,82,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 100%
bosch Tiernahrung DE,84955,green,Pets & Pet Care,0,0,0,0,0.50,8.6233,100.00,green,28,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.5; Bestätigung 100%
Balloony DE,77748,amber,Pets & Pet Care,0,0,0,0,4.23,40,100.00,amber,68,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 4.23; Bestätigung 100%
Timeshop24 DE,14609,green,Jewellery,8,8,0,0,0.09,0.548458,47.78,green,56,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 47.78%; Provision bis 8%
Lerne KI mit Airies,125330,amber,"Education, Training & Recruitment",0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
PEA24 DE,125296,amber,FMCG,0,0,0,0,0.76,12.4307,98.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.76; Bestätigung 98%
Tezeus Bike Affiliate,124150,amber,Sports Equipment,0,0,0,0,2.47,1.04311,77.78,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 2.47; Bestätigung 77.78%
Eufylife DE,30691,amber,Electronic Superstore,0,0,0,0,0.66,1.96999,94.17,amber,74,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.66; Bestätigung 94.17%
Bree DE,121290,amber,Clothing Accessories,0,0,0,0,0.58,6.91442,73.61,amber,94,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.58; Bestätigung 73.61%
Aerialyoga Berlin DE,115351,amber,Sports Equipment,0,0,0,0,0.23,1.79506,81.82,amber,67,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.23; Bestätigung 81.82%
Outdoor Queen DE,116021,amber,Home & Garden,0,0,0,0,0.12,0.144285,100.00,amber,102,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.12; Bestätigung 100%
GSMnet DE,127701,amber,Electronic Accessories,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
Zooplus DE,11330,amber,Pets & Pet Care,4,4,0,0,0.26,0.0255385,95.48,amber,67,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.26; Bestätigung 95.48%; Provision bis 4%
MEDIAFIX DE,25452,amber,Photos & Print Services,0,0,0,0,0.23,2.47211,18.60,amber,34,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.23; Bestätigung 18.6%
BlazeVideo DE,25962,green,Electronic Accessories,0,0,0,0,0.37,5.65118,100.00,green,54,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.37; Bestätigung 100%
ZAGLER MÜSLIBÄR DE,105807,amber,FMCG,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
Heideman Schmuck DE,29591,amber,Jewellery,0,0,0,0,0.34,6.00519,100.00,amber,26,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.34; Bestätigung 100%
OFFICIAL VIP DE,14479,amber,Tickets,1,1,0,0,0.03,0.368509,100.00,amber,78,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.03; Bestätigung 100%; Provision bis 1%
Persaf DE,48995,amber,Health & Beauty,0,0,0,0,0.25,11.859,100.00,amber,45,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.25; Bestätigung 100%
CASAMODA DE,23265,green,Menswear,0,0,0,0,0.49,4.31671,95.29,green,63,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.49; Bestätigung 95.29%
Blumenshop DE,24944,amber,Home & Garden,0,0,0,0,0.16,4.5477,97.30,amber,45,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.16; Bestätigung 97.3%
SHAKE OVER DE,63456,amber,Health & Beauty,0,0,0,0,0.53,9.08482,85.19,amber,40,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.53; Bestätigung 85.19%
Stetson.eu,85811,amber,Clothing Accessories,0,0,0,0,0.02,0.482553,90.10,amber,97,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 90.1%
Optimum Nutrition DE,19864,amber,Health & Beauty,14,14,0,0,0.00,0.0746269,100.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 100%; Provision bis 14%
Moses-verlag DE,16430,green,Toys & Games,8,8,0,0,0.06,5.46594,100.00,green,80,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.06; Bestätigung 100%; Provision bis 8%
"HONG KONG ZEELOOL DIGITAL TECHNOLOGY CO., LIMITED",40012,green,Clothing Accessories,0,0,0,0,0.14,2.09217,75.22,green,69,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.14; Bestätigung 75.22%; Region US
PHYSTINE DE,21225,green,Health & Beauty,0,0,0,0,0.16,1.78571,100.00,green,83,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.16; Bestätigung 100%
Gustini DE,11419,green,Gifts & Flowers,0,10,0,0,0.27,4.87942,100.00,green,81,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.27; Bestätigung 100%; Provision bis 10%
Prange Schuhe DE,25289,green,Shoes,0,0,0,0,0.08,0.651625,66.46,green,80,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 66.46%
PROAURIS DE,64718,amber,Health & Beauty,0,0,0,0,0.15,0.465116,16.67,amber,63,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.15; Bestätigung 16.67%
NADUVI DE,25929,amber,Furniture & Soft Furnishings,0,0,0,0,1.64,4.42077,100.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 1.64; Bestätigung 100%
WellCard DE,85789,green,Gifts & Flowers,0,0,0,0,0.18,4.31431,97.81,green,42,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.18; Bestätigung 97.81%
Wine in Black DE,123318,amber,"Wine, Spirits & Tobacco",0,0,0,0,1.10,13.955,100.00,amber,70,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.1; Bestätigung 100%
stabilo.com DE,15208,green,Office Supplies,10,10,0,0,0.03,0.741039,60.74,green,24,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.03; Bestätigung 60.74%; Provision bis 10%
ITA Airways DE,82113,amber,Airlines,0,0,0,0,0.49,1.98182,73.68,amber,126,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.49; Bestätigung 73.68%
Jungborn DE,14847,green,FMCG,8,8,0,0,0.02,3.30318,91.28,green,81,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 91.28%; Provision bis 8%
Prediger DE,112984,amber,Home & Garden,0,0,0,0,0.92,3.52004,91.67,amber,74,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.92; Bestätigung 91.67%
smartmobil DE,13712,green,Mobile Contract,0,0,0,30,0.06,0.284409,39.22,green,104,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.06; Bestätigung 39.22%; Lead bis 30€
Otrium,105845,amber,Clothing,0,0,0,0,0.19,2.01645,85.11,amber,117,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.19; Bestätigung 85.11%; Region NL
Pixum DE,11510,green,Photos & Print Services,10,10,2.5,2.5,0.01,1.16063,88.76,green,36,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.01; Bestätigung 88.76%; Provision bis 10%; Lead bis 2.5€
Zen Hotels EU,115953,amber,Hotels & Accommodation,0,0,0,0,0.26,2.28617,39.78,amber,125,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.26; Bestätigung 39.78%
Casse-Q,121038,amber,Health & Beauty,0,0,0,0,0.11,0.844278,100.00,amber,70,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.11; Bestätigung 100%
Royal Doulton (DE),58321,amber,Home & Garden,0,0,0,0,0.12,5.66434,100.00,amber,56,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.12; Bestätigung 100%
SKR Reisen DE,113652,amber,Tourism & Attractions,0,0,0,0,0.17,0.154799,84.44,amber,170,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.17; Bestätigung 84.44%
Autoteile Preiswert DE,64924,green,Automotive,0,0,0,0,0.33,2.72833,100.00,green,91,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.33; Bestätigung 100%
Hilton,3624,amber,Hotels & Accommodation,4,4,0,0,0.25,1.44495,63.06,amber,126,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.25; Bestätigung 63.06%; Provision bis 4%; Region GB
365Rider,26763,amber,Sportswear,0,0,0,0,0.08,1.97763,81.60,amber,81,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.08; Bestätigung 81.6%; Region ES
brandnooz DE,13493,amber,FMCG,0,0,1,3.5,0.17,3.66918,95.13,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.17; Bestätigung 95.13%; Lead bis 3.5€
Chefkoch DE,36698,amber,Lead Gen,0,0,0,0,0.01,0.259965,54.79,amber,51,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.01; Bestätigung 54.79%
DERTOUR DE,9140,green,Hotels & Accommodation,0,0,15,55,0.12,0.431589,48.32,green,75,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.12; Bestätigung 48.32%; Lead bis 55€
ltur AT,9165,amber,Hotels & Accommodation,5,5,6,6,0.05,0.0831947,84.62,amber,102,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.05; Bestätigung 84.62%; Provision bis 5%; Lead bis 6€
ILS - Institut für Lernsysteme DE,9331,green,"Education, Training & Recruitment",0,0,5,100,0.10,1.82091,62.55,green,40,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.1; Bestätigung 62.55%; Lead bis 100€
EMP DE,14172,green,Clothing,4,7,0,0,0.11,0.186725,87.62,green,128,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.11; Bestätigung 87.62%; Provision bis 7%
Smartlet One DE,125494,amber,Clothing Accessories,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
T.I.P. Technische Industrie Pumpen DE,50387,amber,Home & Garden,0,0,0,0,0.50,7.86092,99.53,amber,40,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.5; Bestätigung 99.53%
KETTLER DE,118569,amber,Baby & Toddler,0,0,0,0,1.88,5.72135,100.00,amber,103,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 1.88; Bestätigung 100%
Michael Kors DE,10633,amber,Womenswear,3,6,0,0,0.19,3.54708,72.35,amber,146,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.19; Bestätigung 72.35%; Provision bis 6%
Formadore DE,124580,amber,Home & Garden,0,0,0,0,2.02,4.65597,84.94,amber,65,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 2.02; Bestätigung 84.94%
yfood DE,15891,green,FMCG,8,15,0,0,0.29,3.68612,63.16,green,37,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.29; Bestätigung 63.16%; Provision bis 15%
Medpets Tierapotheke Online DE,14419,amber,Pets & Pet Care,10,10,0,0,0.17,2.83097,53.69,amber,96,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.17; Bestätigung 53.69%; Provision bis 10%
watt24 DE,16905,green,Electronic Accessories,5,6,0,0,0.06,2.69871,74.67,green,56,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.06; Bestätigung 74.67%; Provision bis 6%
Welcome Hotels DE,121898,amber,Hotels & Accommodation,0,0,0,0,0.14,1.6719,43.53,amber,84,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.14; Bestätigung 43.53%
Skiset DE,44529,amber,Tourism & Attractions,0,0,0,0,0.69,2.96517,82.35,amber,109,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.69; Bestätigung 82.35%
Eurowings Holidays DE,23469,amber,Travel Agencies,0,0,0,0,0.08,0.245332,63.70,amber,200,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 63.7%
FAIRWEG DE,73385,amber,Travel Agencies,0,0,0,0,0.04,2.77778,33.33,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.04; Bestätigung 33.33%
Elements Show DE,64750,green,Home & Garden,0,0,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
eibmarkt DACH,17113,green,DIY,2,2,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%; Provision bis 2%
Andalous Dessous - Reizwäsche & Dessous,17371,amber,Lingerie,5,10,0,0,0.06,5.21853,100.00,amber,133,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.06; Bestätigung 100%; Provision bis 10%
TAKE A SHOT DE,19957,amber,Clothing Accessories,0,0,0,0,0.37,3.42545,100.00,amber,114,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.37; Bestätigung 100%
Omorovicza DE,20938,amber,Health & Beauty,0,0,0,0,0.65,1.68537,28.57,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.65; Bestätigung 28.57%
Expert Technomarkt DE,14080,green,Electronic Superstore,2,2,0,0,0.00,0.529601,20.83,green,111,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 20.83%; Provision bis 2%
GO-OFF Helm,124508,amber,Sports Equipment,0,0,0,0,0.11,5.26316,100.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.11; Bestätigung 100%
espressissimo.de,65278,amber,FMCG,0,0,0,0,0.00,0.266424,100.00,amber,102,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 100%
Barebells Functional Foods DE,116073,amber,FMCG,0,0,0,0,0.31,9.76335,100.00,amber,85,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.31; Bestätigung 100%
APONEO DE,15521,amber,Health & Beauty,5,8,0,0,0.03,3.96013,73.78,amber,95,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.03; Bestätigung 73.78%; Provision bis 8%
Manfieldschuhe DE,16123,green,Shoes,8,8,0,0,0.07,2.00712,62.50,green,50,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.07; Bestätigung 62.5%; Provision bis 8%
Eskute DE,25715,green,Sports Equipment,0,0,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
AsVIVA DE,11908,green,Sports Equipment,5,5,0,0,0.52,3.68696,97.47,green,74,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.52; Bestätigung 97.47%; Provision bis 5%
item-m6 DE,19490,amber,Lingerie,10,10,0,0,0.29,4.2393,100.00,amber,77,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.29; Bestätigung 100%; Provision bis 10%
Joolz DE,43419,amber,Baby & Toddler,0,0,0,0,0.15,5.41502,100.00,amber,89,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.15; Bestätigung 100%
Duschkind DE,69408,amber,Health & Beauty,0,0,0,0,0.49,24.7302,97.30,amber,74,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.49; Bestätigung 97.3%
Robertogeissini DE,15894,green,Clothing,7.5,7.5,0,0,0.26,2.28873,90.61,green,79,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.26; Bestätigung 90.61%; Provision bis 7.5%
awg-mode.de - Alle Werden Glücklich,15977,amber,Clothing,8,8,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%; Provision bis 8%
ERA-FIT DE,27023,green,Sports Equipment,0,0,0,0,0.69,9.67194,98.70,green,58,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.69; Bestätigung 98.7%
Kavalio DE,29263,amber,Sports Equipment,0,0,0,0,0.29,4.16667,90.33,amber,164,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.29; Bestätigung 90.33%
Lavazza DE,20536,amber,FMCG,0,0,0,0,0.46,12.9116,50.85,amber,153,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.46; Bestätigung 50.85%
Seltmann Weiden DE,11896,green,Home & Garden,8,8,0,0,0.27,7.48792,100.00,green,111,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.27; Bestätigung 100%; Provision bis 8%
Mustang Store GmbH DE,14855,green,Clothing,8,8,0,0,0.13,5.09376,83.39,green,72,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.13; Bestätigung 83.39%; Provision bis 8%
Van Tjalle en Jasper NL,44243,amber,Furniture & Soft Furnishings,0,0,0,0,0.68,13.5335,100.00,amber,52,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.68; Bestätigung 100%; Region NL
windsor DACH,10970,amber,Clothing,0,7,0,0,0.57,2.28276,53.38,amber,71,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.57; Bestätigung 53.38%; Provision bis 7%
ReifenDirekt EE,10747,amber,Automotive,0,0,0,0,0.26,6.25,33.33,amber,38,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.26; Bestätigung 33.33%
Bär Schuhe DE,11728,amber,Shoes,10,10,0,0,0.36,1.46513,54.58,amber,74,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.36; Bestätigung 54.58%; Provision bis 10%
MrStarsky DE,29741,green,Baby & Toddler,0,0,0,0,0.12,0.516018,100.00,green,39,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.12; Bestätigung 100%
Regionsflorist DE,83181,green,Gifts & Flowers,0,0,0,0,0.49,17.4732,100.00,green,67,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.49; Bestätigung 100%
Ottocast,96499,green,Automotive,0,0,0,0,0.23,3.98496,85.37,green,70,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.23; Bestätigung 85.37%; Region US
Jaded London - EU,56093,amber,Clothing,0,0,0,0,0.86,11.7168,100.00,amber,72,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.86; Bestätigung 100%
versandApo DE,25685,green,Pharmaceuticals,0,0,0,0,0.18,13.7096,97.13,green,60,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.18; Bestätigung 97.13%
Fressnapf AT,68692,amber,Pets & Pet Care,0,0,0,0,0.09,2.40241,98.44,amber,95,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.09; Bestätigung 98.44%
